file,context,source,translation,category,suggested_check
st_cad_Chinese.ts,QObject,The definition of V(t) cannot contain other characters.,V(t)的定义不能包含其他字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The definition of W(t) cannot contain other characters.,W(t)的定义不能包含其他字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,User-defined discrete points cannot contain Chinese characters.,用户自定义离散点数不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,User-defined discrete points cannot contain characters other than numbers.,用户自定义离散点数不能包含除数字外的其他字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The height value cannot be 0.,高度值不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Corner point 1 cannot contain Chinese characters.,角点1不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Corner point 2 cannot contain Chinese characters.,角点2不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"Corner point 1 format error. The correct format is: value1, value2.",角点1格式错误，正确格式：value1，value2。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Corner point 2 format error. The correct format is: value1, value2.",角点2格式错误，正确格式：value1，value2。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,Rectangle dimensions cannot be 0.,矩形尺寸不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Length cannot contain Chinese characters.,长度不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Width cannot contain Chinese characters.,宽度不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Length format error. It cannot contain other symbols. Please enter a valid number directly.,长度格式错误，不能包含其他符号，请直接输入合理的数字。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,Width format error. It cannot contain other symbols. Please enter a valid number directly.,宽度格式错误，不能包含其他符号，请直接输入合理的数字。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,The length of the rectangle cannot be 0.,矩形的长不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The width of the rectangle cannot be 0.,矩形的宽不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Width format error. The width cannot be 0.,宽度格式错误，宽度不能为0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Corner point 1 format error. The correct format is: x, y.",角点1格式错误，正确格式：x，y。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Corner point 2 format error. The correct format is: x, y.",角点2格式错误，正确格式：x，y。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,The length of the rectangle cannot be <= 0.,矩形的长不能<=0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The width of the rectangle cannot be <= 0.,矩形的宽不能<=0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The radius (U-axis direction) cannot contain Chinese characters.,半径（U轴方向）不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The radius (V-axis direction) cannot contain Chinese characters.,半径（V轴方向）不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Radius (U-axis direction) format error. It cannot contain other symbols. Please enter a valid number directly.,半径（U轴方向）格式错误，不能包含其他符号，请直接输入合理的数字。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,Radius (V-axis direction) format error. It cannot contain other symbols. Please enter a valid number directly.,半径（VV轴方向）格式错误，不能包含其他符号，请直接输入合理的数字。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,Edges Count  cannot contain Chinese characters.,边数不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Start Point cannot contain Chinese characters.,起始点不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"The number of sides cannot be empty. If it is a variable, please ensure the variable exists.",边的个数不能为空，若为变量则请确保变量存在。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"The starting point cannot be empty. If it is a variable, please ensure the variable exists.",起始点不能为空，若为变量则请确保变量存在。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,The starting point cannot be the origin.,起始点不能是原点。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Vertices cannot contain Chinese characters.,顶点不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"Vertex format error. The correct format is: x, y.",顶点格式错误，正确格式：x，y。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,'%1' cannot contain Chinese characters.,'%1' 不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,t1 range error. t1_0 must be less than t1_1.,t1的范围错误，t1_0需 < t1_1。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,t2 range error. t1_0 must be less than t1_1.,t2的范围错误，t2_0必须小于t2_1。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"U,V,W format is incorrect, please check.","U,V,W 格式错误，请检查。",参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,Ru cannot contain other characters.,Ru不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Rv cannot contain other characters.,Rv不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Rw cannot contain other characters.,Rw不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"Ru cannot be empty. If it is a variable, please ensure the variable exists.",Ru不能为空，若为变量则请确保变量存在。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Rv cannot be empty. If it is a variable, please ensure the variable exists.",Rv不能为空，若为变量则请确保变量存在。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Rw cannot be empty. If it is a variable, please ensure the variable exists.",Rw不能为空，若为变量则请确保变量存在。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,Corner points cannot contain Chinese characters.,角点不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"Corner point format error. The correct format is: x, y, z.","角点格式错误，正确格式：x,y,z。",参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Length format error. The correct format is: l, w, h.","长度格式错误，正确格式：l,w,h。",参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,The lower corner point cannot contain Chinese characters.,下角点不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The upper corner point cannot contain Chinese characters.,上角点不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"Lower corner point format error. The correct format is: x, y, z.","下角点格式错误，正确格式：x,y,z。",参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Upper corner point format error. The correct format is: x, y, z.","上角点格式错误，正确格式：x,y,z。",参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,The distance between the upper and lower corner points in the x direction cannot be 0.,上下角点在x方向上的距离不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The distance between the upper and lower corner points in the y direction cannot be 0.,上下角点在y方向上的距离不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The distance between the upper and lower corner points in the z direction cannot be 0.,上下角点在z方向上的距离不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The bottom radius cannot contain Chinese characters.,底面半径不能包含中文。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,The top radius cannot contain Chinese characters.,顶面半径不能包含中文。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,Height cannot contain Chinese characters.,高度不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The number of sides cannot contain Chinese.,边数不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"The bottom radius cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",底面半径不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"The top radius cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",顶面半径不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"The height cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",高度不能为空，若为变量则请确保变量存在，且值必须大于0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"The number of sides cannot be empty, if it is a variable, make sure the variable exists and the value must be >0.",边数不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,The bottom and top radius cannot be 0.,底部和顶部的半径不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Major radius cannot contain Chinese characters.,外圆半径不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Sub radius cannot contain Chinese characters.,截面圆半径不能包含中文。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,"Major radius cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",外圆半径不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Sub radius cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",截面圆半径不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,Outer major radius cannot contain Chinese characters.,外椭圆半长轴不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Outer minor radius cannot contain Chinese characters.,外椭圆半短轴不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Inner major radius cannot contain Chinese characters.,外椭圆半长轴不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Inner minor radius cannot contain Chinese characters.,外椭圆半短轴不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Angle1 cannot contain Chinese characters.,角度1不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Angle2 cannot contain Chinese characters.,角度2不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"Outer major radius cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",外椭圆半长轴不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Outer minor radius cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",外椭圆半短轴不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Inner major radius cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",内椭圆半长轴不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Inner minor radius cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",内椭圆半短轴不能为空，若为变量则请确保变量存在，且值必须>0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Angle1 cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",角度1不能为空，若为变量则请确保变量存在，且值必须>=0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,"Angle2 cannot be empty. If it is a variable, please ensure the variable exists and its value must be greater than 0.",角度2不能为空，若为变量则请确保变量存在，且值必须>=0。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,The start angle and end angle cannot be the same.,起始角度与终止角度不能相同。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The wire diameter cannot contain Chinese characters.,线圈截面半径不能包含中文。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,The starting circle radius cannot contain Chinese characters.,起始圆半径不能包含中文字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,End The radius of the circle cannot contain Chinese characters.,结束圆半径不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The helix section radius cannot contain Chinese characters.,螺旋线截面半径不能包含中文。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,The height cannot be empty.,高度不能为空。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The value of height cannot be 0.,高度的值不能为0。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The number of coils cannot be empty.,线圈圈数不能为空。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,The number of coils cannot include Chinese characters.,线圈圈数不能包含中文。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,The taper cannot contain Chinese characters.,锥度不能包含中文。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The taper cannot contain other characters.,锥度不能包含其他字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,'%1' cannot be null.,'%1' 不能为空。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,Error arc instruction: '%1'. Skip.,错误的arc指令：'%1‘，跳过。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,"The error occurred when'%1' was loaded, replacing it with a 100x100x100 cube.",错误发生在加载 '%1' 时，替换为一个100x100x100的正方体。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_cad_Chinese.ts,QObject,'%1'Encountered an error at the minimum parameter.,'%1' 在最小参数处遇到错误。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,Error,错误,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,'%1' Format error. It cannot contain other characters.,'%1' 形式错误。不能包含其他字符。,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_cad_Chinese.ts,QObject,The twist cannot contain Chinese characters.,扭曲不能包含中文字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_cad_Chinese.ts,QObject,The twist cannot contain other characters.,扭曲不能包含其他字符。,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_Chinese.ts,QObject,The selected information is empty. Unable to create a lumped element.,所选信息为空，不能创建集总元件。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,Curved face cannot be used to create a lumped element.,曲线无法用于创建集总元件。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,Unable to create wave port during simulation.,仿真过程中不允许创建波端口。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,"Failed to create wave port, the selected face is not a planar face.",创建波端口失败，所选面不是平面。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,"Failed to create wave port, the selected faces are not in the same plane.",创建波端口失败，所选面不在同一平面。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,The wave port is disabled and the mode cannot be viewed!,波端口已被禁用，模式无法查看！,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,Unable to create boundary condition during simulation.,仿真过程中不允许创建边界面。,仿真/求解,先运行验证，检查频率、求解器、Domain、材料、端口/激励是否完整；查看详细日志定位失败阶段。
st_Chinese.ts,QObject,Error,错误,其他,结合原始提示、当前操作阶段和帮助文档限制进一步排查。
st_Chinese.ts,QObject,snp file suffix error,snp文件后缀错误,文件/导入导出,检查文件路径、后缀、权限、文件是否为空或被占用；导入数据时检查格式与分隔符。
st_Chinese.ts,QObject,Data format error!,数据格式错误！,参数/输入格式,"按提示检查输入格式，例如坐标 `(u,v,w)`、数值范围、变量名和单位；不要在非单位界面额外带单位。"
st_Chinese.ts,QObject,"Wrong point selection, please select a point.",选点错误，请选择一个点。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_Chinese.ts,QObject,"Failed to parse the point source file, please re-import.",解析点源文件失败，请重新导入。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,File save failed.,文件保存失败。,文件/导入导出,检查文件路径、后缀、权限、文件是否为空或被占用；导入数据时检查格式与分隔符。
st_Chinese.ts,QObject,"Line receiver selection point error, please select two points.",线接收器选点错误，请选择两个点。,几何/选择,检查当前选择模式和对象类型；面/线/点数量是否满足操作要求，曲面、非共面或非闭合曲线常会导致失败。
st_Chinese.ts,QObject,The file is empty!,文件为空,文件/导入导出,检查文件路径、后缀、权限、文件是否为空或被占用；导入数据时检查格式与分隔符。
st_Chinese.ts,QObject,The selected information is empty. Unable to create a lumped port.,所选信息为空，无法创建集成端口。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,The selected unable to create a lumped port.,所选对象不能创建集总端口。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,The selected unable to create a lumped element.,所选对象不能创建集总元件。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,"Failed to create lumped port, the selected face is not a planar face.",创建集总元件失败，所选面不在同一平面。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,"Failed to create lumped element, the selected face is not a planar face.",创建集总元件失败，所选面非平面。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,"Failed to create lumped port, the selected faces are not in the same plane.",创建集总端口失败，所选面不在同一平面。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,"Failed to create lumped element, the selected faces are not in the same plane.",创建集总元件失败，所选面不在同一平面。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
st_Chinese.ts,QObject,Curved face cannot be used to create a lumped port.,所选曲面无法创建集总端口。,端口/激励,检查端口创建时的选择对象、端口面是否为平面、是否贴合 Domain、导体数量/电势设置是否变化；必要时重新创建端口或重新运行波端口。
